ownerName,name,_id,Address,city,state,capacity,Registration Date,Registration Valid Upto,phoneNo,Status,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Undri",6593826,"Chikhali Road, Undri,",Buldana,MAHARASHTRA,2000,13-Jun-22,12-Jun-27,8855899877,Active,
Maharashtra State Warehousing Corporation,Georai,6596977,"MSWC, APMC Area,, Beed Road, Georai , Beed- 431127",Bid,MAHARASHTRA,6820,23-Jun-22,22-Jun-27,8788575878,Active,
mangrul kambe schedule cast seed producer compny ltd.,Buldana Urban Godown No 07,6111641,"Buldana Urban Godown no 07 , Gat No 185, Hatgaon Tq Murtizapur",Akola,MAHARASHTRA,2000,20-Jul-21,19-Jul-26,7666497194,Active,
Monika Gujar,SHREE GANRAJ WARE HOUSING COMPANY,6627939,"Opp,Karad Railway Good Shed,, Karad Railway station, Oglewadi",Satara,MAHARASHTRA,4000,10-Sep-22,09-Sep-27,9404455554,Active,
NATIONAL BULK HANDLING CORPORATION PRIVATE LIMITED,CHAITANYA WAREHOUSE,6795603,"GODOWN NO 01 GAT NO 74, AT POST KANADWADI, KUPWAD MIDC AREA, TALUKA - MIRAJ",Sangli,MAHARASHTRA,2312,27-Oct-23,26-Apr-25,9860530776,Active,
NATIONAL BULK HANDLING CORPORATION PRIVATE LIMITED,SHRI TIRUPATI WAREHOUSE,6712897,"GD No 4 GAT NO. 242, AT POST BABHULGAON,, TALUKA & DIST - NANDED - 431603, MAHARASHTRA",Nanded,MAHARASHTRA,1346,28-Apr-23,27-Apr-25,9325101973,Inactive,EFFECTIVE CONTROL EXPIRED
National Commodities Management Services Limited,National Collateral Management Services Limited,1004639,"C/o Ambika Warehouse, Godown No. 1&2, Sy. No. 24/1, Telhara,",Akola,MAHARASHTRA,3335,26-May-23,26-Nov-27,7387056402,Active,
National Commodities Management Services Limited,National Collateral Management Services Limited,1004563,"C/o Lata Vinod Agrawal, Godown Premises No. 2, Sy. No. 79/1,",Akola,MAHARASHTRA,2615,05-Feb-23,11-Dec-27,7387056402,Active,
National Commodities Management Services Limited,Meena Pravin Chandak,5791641,"Survey no 9 Jogban Wadali Satwai Hiwarkhed Road Akot, Taluka :Akot",Akola,MAHARASHTRA,3105,31-Mar-23,22-Jan-28,7387056402,Active,
National Commodities Management Services Limited,Asha Vijay Agrawal Warehouse,6547020,"NCML C/O Plot no 1 Survey no 11 Mouja Jogban Hiwarkhed raod At Po Akot Village: Akot, Taluka Akot Dist : Akola Maharashtra Pin 444101",Akola,MAHARASHTRA,3156,24-Dec-21,23-Jun-25,7387056402,Active,
National Commodities Management Services Limited,"National Collateral Management Services Limited, NCML Own Warehouse",1003268,"Survey No. 122, Village - Shisha, Taluka - Akola,",Akola,MAHARASHTRA,15200,18-Jan-23,21-Aug-27,9716870160,Active,
National Commodities Management Services Limited,Sakshi pravin chandak And Krishana Pravin chandak Warehouse,6695613,"GUT NO 158 waldivthana Anjangaon road Akot,",Akola,MAHARASHTRA,3083,15-Mar-23,14-Sep-27,7387056402,Active,
National Commodities Management Services Limited,Saptgiri Warehousing,5271641,"A/p Savali, Tal-Miraj, Dist- Sangli. Gat No 211 Maharashtra, Village-Savali,",Sangli,MAHARASHTRA,5812,24-May-21,23-Nov-24,8805014703,Inactive,EFFECTIVE CONTROL EXPIRED
National Commodities Management Services Limited,"National Collateral Management Services Ltd., C/O Maruti Nandan Warehouse",1004175,"Survey No. 52/2, Mauje Sonori, Taluka- Mutizapur,",Akola,MAHARASHTRA,4978,17-Jan-23,16-Nov-27,7387056402,Active,
National Commodities Management Services Limited,SHREE SALASAR CORPORATION,6704613,"HIWARKHED ROAD, TAL.,",Akola,MAHARASHTRA,3250,31-Mar-23,30-Sep-27,7387056402,Active,
National Commodities Management Services Limited,Arihant Udyog,2471651,"Compartment no.1,Survey No. plot no. N-126, MIDC 4 Akola",Akola,MAHARASHTRA,2668,10-Feb-21,09-Aug-24,7387056402,Active,
National Commodities Management Services Limited,MARUTI NANDAN WAREHOUSE CORPORATION,7171649,"SURVEY NO.52/2,MAUJE SONORI,TALUKA-MURTIZAPUR, Sonori, Murtizapur",Akola,MAHARASHTRA,7475,11-Jul-23,04-Mar-27,7387056402,Active,
National Commodities Management Services Limited,JAI WAREHOUSING CORPORATION,3931645,"Survey no 45/3 Magrulpir road, Barshitakli Village : Barshitakli, Taluka :Barshitakli",Akola,MAHARASHTRA,6847,16-Mar-23,26-Nov-27,7387056402,Active,
Origo Commodities India Private Limited,"G B OIL Product & Warehousing Godown No.1,2,3",4791642,"Plot No.50/1, Moua Ismailpur, Pulgaon Road,",Wardha,MAHARASHTRA,3835,23-Dec-19,22-Dec-24,7042199478,Inactive,EFFECTIVE CONTROL EXPIRED
Origo Commodities India Private Limited,Thekiya Warehouse Company,6571236,"Plot No. - 106, Opp. Godawari Drugs, Beside RTO Office,, MIDC Industrial Area, Nanded",Nanded,MAHARASHTRA,2800,27-Apr-22,26-Jul-26,9971287676,Inactive,EFFECTIVE CONTROL EXPIRED
PHOENIX ENTERPRISES,PHOENIX ENTERPRISES,6741334,"GAT NO 474 & 475 ,GAT NO 472/1/A,",Nandurbar,MAHARASHTRA,16804,22-Jun-23,21-Jun-28,9923056090,Active,
Pooja Rathi,Parmarth Warehouse,6622179,"Gat No. 57, At Post Waki Gram Panchayat Sailu-Partur Road",Parbhani,MAHARASHTRA,3500,29-Aug-22,28-Aug-26,9689947699,Active,
Prashant Thote,M/S Gola Mdh Warehouse,6714513,"Khasra No-128/4,Near Bhori Village Kamthik Guntala road,",Nagpur,MAHARASHTRA,6650,02-May-23,01-May-28,6361254542,Active,
RABIA LOGISTICS PRIVATE LIMITED,RABIA LOGISTICS PRIVATE LIMITED,6882187,"Dagad Umra Fata Washim Pusad Road Dhanora Kh.,",Washim,MAHARASHTRA,35000,08-Mar-24,07-Sep-28,9763430060,Active,
RENUKA PARSEWAR,PRASHANT WAREHOUSE,6740526,"GUT NO.195,BHAYEGAON ROAD,JAWAHAR NAGAR,TUPPA,NANDED-431603,",Nanded,MAHARASHTRA,10440,22-Jun-23,21-Jun-28,8208753226,Active,
Saastha Warehousing Limited,Saastha Warehousing Limited,8711642,"At- Bhingar, Post-Ajiwali, Taluka- Panvel,,",Raigarh,MAHARASHTRA,10000,17-Aug-20,16-May-25,9619920104,Active,
Sachin Madke,Laxmi Dudh Utpadak Prakriya Sangh Warehouse,6623797,"Jamgaon (A),",Solapur,MAHARASHTRA,5000,30-Aug-22,29-Aug-27,9850509680,Inactive,EXPIRED INSURANCE
Sadhana Khutwad,Sadhana Chitrasen Khutwad,6790299,"Sr. No, 159/3 & 4, Pune-Saswad Road",Pune,MAHARASHTRA,18444,11-Oct-23,10-Oct-28,8698502525,Active,
Sandeep kacholiya,MK Agro Cold Storage,8331024,"Plot No. 168 Yeota Road Akola Growth Center, MIDC Akola",Akola,MAHARASHTRA,5300,27-Aug-19,26-Aug-24,9922988188,Inactive,EXPIRED INSURANCE
Shree Shubham Logistics Limited,SSL C/o Vishal Narendra Gupta Warehouse,4110014,"Gut No.70, Mauze- Wadhadi Satwai,, Taluka- Akot",Akola,MAHARASHTRA,1591,16-Mar-23,16-Jul-28,8329572180,Active,
Shree Shubham Logistics Limited,"C/O KAVITA NAVIN KUMAR CHANDAK WAREHOUSE,",6651152,"CHAMBER NO.01 AND 02, GAT NO. 313, AKOT, DEORI ROAD,, MOUJE-BALEGAON, TEHSIL-AKOT, DISTRICT-AKOLA,",Akola,MAHARASHTRA,4900,14-Nov-22,13-Nov-27,9850377732,Active,
Shree Shubham Logistics Limited,"SHREE SHUBHAM LOGISTICS LIMITED, SAVITA ANAND AGRAWAL WAREHOUSE,",2111643,"SURVEY NO.11, PLOT NO.02, MOUJE-JOGBAN,, TALUKA-AKOT, DISTRICT-AKOLA, MAHARASHTRA.",Akola,MAHARASHTRA,3202,18-Jan-21,17-Jan-26,9850377732,Active,
Shree Shubham Logistics Limited,"SHREE SHUBHAM LOGISTICS LIMITED C/O PRAMILA NARENDRA GUPTA WAREHOUSE,",4491649,"CHAMBER NO. A, B, & C, GAT NO.73, MOUJE WADALI SATWAI,, HIWARKHED ROAD, AKOT, MAHARASHTRA-444101.",Akola,MAHARASHTRA,3091,17-Dec-19,16-Dec-24,9850377732,Active,
Shree Shubham Logistics Limited,"SHREE SHUBHAM LOGISTICS LIMITED C/O SULBHA NITIN AGRAWAL WAREHOUSE,",2211642,"SURVEY NO.11, PLOT NO.04, MOUJE- JOGBAN,, TALUKA-AKOT, DISTRICT-AKOLA, MAHARASHTRA.",Akola,MAHARASHTRA,3202,22-Jan-21,21-Jan-26,9850377732,Active,
Shree Shubham Logistics Limited,"C/O NIRMALA GOKULDAS CHANDAK WAREHOUSE,",6554133,"GODOWN NO. A, B, C, D, E, F, & G, SITUATED AT GAT NO.09,, MOUZE -JOGBAN, G.P. WADALI SATWAI, HIWARKHED ROAD, AKOT.",Akola,MAHARASHTRA,4357,18-Feb-22,17-Feb-27,9850377732,Active,
Shree Shubham Logistics Limited,"C/O G B OIL PRODUCT AND WAREHOUSING,",6564488,"GODOWN NO.01, GODOWN NO.02 AND GODOWN NO.03, PLOT NO. 50/1,, MOUZA-ISMAILPUR, PULGAON ROAD, ARVI, DISTRICT-WARDHA, MAHARASHTRA.",Wardha,MAHARASHTRA,3114,28-Mar-22,27-Mar-27,9960440143,Inactive,EFFECTIVE CONTROL EXPIRED
Shree Shubham Logistics Limited,NALINI SURESH KARALE WAREHOUSE,6651608,"GAT NO.193, AT WAI, POST-CHANDIKAPUR,, ANJANGAON ROAD, AKOT, DISTRICT-AKOLA, MAHARASHTRA.",Akola,MAHARASHTRA,2398,16-Nov-22,15-Nov-27,9850377732,Active,
Shree Shubham Logistics Limited,"SHREE SHUBHAM LOGISTICS LIMITED C/O RADHIKA ANIRUDH GOENKA, WAREHOUSE NO.02, GAT NO.232 C/O VIMAL GOENKA WAREHOUSE PREMISES ,",9731657,"OPP. VINODRAI FACTORY, JALNA- AURANGABAD ROAD,, VILLAGE-DAWALWADI, TALUKA-BADNAPUR, DISTRICT-JALNA, MAHARASHTRA.",Jalna,MAHARASHTRA,5787,11-Dec-20,10-Dec-25,7020133341,Inactive,EFFECTIVE CONTROL EXPIRED
Shree Shubham Logistics Limited,"SHREE SHUBHAM LOGISTICS LIMITED C/O INDU RAMNIVAS MALPANI WAREHOUSE,",9691658,"WAREHOUSE A, B & C, GAT NO.4/5 JOGBAN,, WADALI SATWARI, HIWARKHED ROAD, NEXT TO RAILWAY CROSSING AKOT, DISTRICT-AKOLA.",Akola,MAHARASHTRA,2821,10-Dec-20,09-Dec-25,9850377732,Active,
Shree Shubham Logistics Limited,SHREE SHUBHAM LOGISTICS LIMITED,6819817,"CHAMBER NO.04, GAT NO.123/2/2, & 124/2,, JALGAON TO AURANGABAD ROAD,",Jalgaon,MAHARASHTRA,2740,20-Dec-23,19-Dec-28,9011326349,Active,
Shree Shubham Logistics Limited,"SONIKA NILESH PALIWAL WAREHOUSE,",6651426,"GAT NO.193 AT WAI, POST - CHANDIKAPUR,, ANJANGAON ROAD, AKOT, DISTRICT-AKOLA, MAHARASHTRA.",Akola,MAHARASHTRA,2398,15-Nov-22,14-Nov-27,9850377732,Active,
Shree Shubham Logistics Limited,M/s Shree Shubham Logistics Limited,1003128,"Gat No. 94 & 95, Barshi Road, Village - Murud Akola, Tehsil - Latur,",Latur,MAHARASHTRA,31200,31-Jan-23,31-Mar-28,7057329064,Active,
Shree Shubham Logistics Limited,"SHREE SHUBHAM LOGISTICS LIMITED C/O JAYALAXMI WAREHOUSING,",6351669,"CHAMBER NO.1, S NO. 24/25, YEOTMAL ROAD, POST DHABA, TALUKA NANDGAON KHANDESHWER,, AMRAVATI, MAHARASHTRA.",Amravati,MAHARASHTRA,3468,06-Feb-20,05-Feb-25,8329572180,Inactive,EFFECTIVE CONTROL EXPIRED
SONPAULA AGRO PRODUCER COMPNY LTD,sonpaula godown no 2,3851641,"AT POST ANJANI KHURD, AT POST ANJANI KHURD",Buldana,MAHARASHTRA,1000,22-Mar-21,21-Mar-26,7588080447,Active,
StarAgriWarehousing CollateralManagementLimited,GARGI WAREHOUSE,6536221,"Godown No. ??1, Gat No.246, Babhulgaon,, Tq & Dist. - Nanded",Nanded,MAHARASHTRA,1000,07-Oct-21,06-Oct-26,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,JAI WAREHOUSING CORPORATION,6837181,"Godown No. - 1 & 2, Survey No. - 45/3, Mangrulpir Road,, At. - Barshitakli, Dist. - Akola",Akola,MAHARASHTRA,3363,12-Jan-24,11-Jan-29,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,RUPALI PRAFUL OSTWAL Godown,6900724,"Gut No. - 100, At - Village - Pimpri (BK), Tq. - Silod, dist. - Aurangabad",Aurangabad,MAHARASHTRA,1500,30-Mar-24,29-Dec-28,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,Aditya warehousing corporation,6511029,"Gat No. 178/2, A/P - Tanang,, Tal - Miraj, Sangli, MIRAJ,",Sangli,MAHARASHTRA,2001,05-Apr-24,25-Jun-29,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,Star Agri Warehousing & Collateral Management Limited C/o Ramabai Nandlal Agarwal,1006683,"Godown No. 1 & 3, Plot No. 3, 4, 5, Survey No. 157/1, At Khanapur, Trimbakpur,",Akola,MAHARASHTRA,1410,01-Mar-23,24-Mar-28,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,MANOHAR COLD STORAGE & AGROTECH,4091671,"CHAMBER NO A,A1,B,B1, Gat No. - 423, Kupwad - Tanang Road,, A/p - Tanang, Tal - Miraj, Dist - Sangli",Sangli,MAHARASHTRA,820,30-Mar-21,29-Mar-26,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,Cottoncity Agro Foods Pvt. ltd.,6816128,"Godown No. - 1,2 & 3 Plot No. - B-26, additional MIDC, Chintamani APMC, Darwha Road, At.-Lohara",Yavatmal,MAHARASHTRA,2992,15-Dec-23,14-Dec-28,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,Aditya Warehousing Corporation,6658447,"Godown No.2, Gat No. 178/2, A/P - Tanang,, Tal - Miraj, Dist - Sangli",Sangli,MAHARASHTRA,2732,06-Dec-22,05-Sep-27,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,Star Agri Warehousing & Collateral Management Limited C/O Shree Ganesh Warehousing Corporation,1006741,"Godown No.1 to 4 Survey no 157/2,",Akola,MAHARASHTRA,1356,16-Mar-22,15-Mar-25,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,G B OIL PRODUCTS,6772024,"GODOWN NO. 1 & 2 SURVEY NO. 50/1,, MOUZA ISMAILPUR, PULGAON ROAD, ARVI, DIST. - WARDHA",Wardha,MAHARASHTRA,3472,21-Aug-23,20-Aug-28,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,Khaledabai Istyak Deshmukh,6658710,"Godown, Gut No. 406 At Village-Dongargaon, Tq Sillod",Aurangabad,MAHARASHTRA,1499,06-Dec-22,05-Sep-27,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,HINGANGHAT INFRASTRUCTURE PVT LTD,6655021,"Godown No. - 6, Survey No. 119/54/1,, Mouza - Borgaon, Tah - Hinganghat",Wardha,MAHARASHTRA,2541,30-Nov-22,29-Nov-27,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,Star Agri Warehousing & Collateral Management Limited C/o Ashwin Oil Mill Warehouse,1006576,"Gut No. 47, Mouje Lakhmanpur, Taluka - Akot,",Akola,MAHARASHTRA,1727,24-Feb-23,24-Mar-28,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,SHWETA SANDEEP AGRAWAL,6537120,"Godown No - 3 & 4, Survey No. - 148-6, Mouje Khanapur ,, Trambakpur, Tq. - Akot, Dist. - Akola",Akola,MAHARASHTRA,4978,13-Oct-21,12-Apr-26,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,JAI WAREHOUSING CORPORATION,6868145,"Godown No. - 5, Survey No. - 45/3, Mangrulpir Road,, At. - Barshitakli, Dist. - Akola",Akola,MAHARASHTRA,1496,21-Feb-24,20-Nov-28,9314058569,Active,
StarAgriWarehousing CollateralManagementLimited,SAU. RITA AJIT GUPTA & SAU. NEHA SARVESH SHRAWAGI & SHREYA SAURABH AGRAWAL,6841951,"Godown No. - 2, GUT NO. 128, WADALI SATWAI, TQ. - AKOT , DIST. - AKOLA",Akola,MAHARASHTRA,2223,20-Jan-24,19-Jan-29,9314058569,Active,
VENKATESHWARA WAREHOUSING,VENKATESHWARA WAREHOUSING,6856801,"Gno: 374,375,376,377, vill: kalgaon,",Hingoli,MAHARASHTRA,10000,09-Feb-24,08-Feb-29,8688778324,Active,
Vijayalakshmi Agro Foods Pvt.Ltd,Vijayalakshmi Agro Foods Pvt.Ltd,6534150,"Plot No. 6 Newasa MIDC Area, Pandharipool Tal Newasa",Ahmadnagar,MAHARASHTRA,5000,24-Sep-21,23-Sep-26,9822407055,Active,
Yamada Logistics Private Limited,YAMADA LOGISTICS PVT. LTD. C/O MOHOTA WAREHOUSE,6951655,"Survey No. 41/2 Mauza Bid-Ajangaon, Tahasil-Hinganghat, District-Wardha",Wardha,MAHARASHTRA,3787,24-Feb-20,23-Feb-25,9009002013,Inactive,EFFECTIVE CONTROL EXPIRED
Yamada Logistics Private Limited,YAMADA LOGISTICS LIMITED C/O SHOURYA CORPORATION,6545222,"Plot no. C-162, C-Zone, MIDC Lohara,, Yavatmal - Maharashtra - 445001",Yavatmal,MAHARASHTRA,7500,07-Dec-21,06-Jun-26,9009002013,Inactive,EFFECTIVE CONTROL EXPIRED
Yamada Logistics Private Limited,YAMADA LOGISTICS LIMITED C/O OMPRAKSH DEODATTA GUPTA WAREHOUSE,6821250,"GODOWN NO.1 ,SHET SURVEY NO. 18/2B,PLOT NO.1 & GODOWN NO.7, SHET, SURVEY NO. 18/3,PLOT NO. 7 GRAMPANCHAYAT- DORLI DOLAMBA NAGPUR ROAD,",Yavatmal,MAHARASHTRA,2418,21-Dec-23,20-Jun-28,9977337303,Active,
