ownerName,name,_id,Address,city,state,capacity,Registration Date,Registration Valid Upto,phoneNo,Status,
Maharashtra State Warehousing Corporation,"MAHARASHTRA STATE WAREHOUSING CORPORATION, DHARMABAD",6582126,"RATNALI ROAD,, DHARMABAD",Nanded,MAHARASHTRA,5400,28-May-22,27-May-27,8830758165,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Hinganghat",6633788,"Nagpur Hydarabad Highway, Hinganghat",Wardha,MAHARASHTRA,19050,22-Sep-22,21-Sep-27,9423619102,Active,
Maharashtra State Warehousing Corporation,SATANA,6581946,"MALEGAON ROAD,SATANA, SATANA",Nashik,MAHARASHTRA,5850,28-May-22,27-May-27,8408882562,Active,
Maharashtra State Warehousing Corporation,MSWC Kurduwadi APMC,6593461,"Market Yard,Kurduwadi, Tembhurni Road",Solapur,MAHARASHTRA,12000,13-Jun-22,12-Jun-27,9860714784,Active,
Maharashtra State Warehousing Corporation,JALGAON H-14,6574925,"PLOT NO.H14,MIDC AREA,JALGAON, JALGAON",Jalgaon,MAHARASHTRA,61803,15-May-22,14-May-27,9579713020,Active,
Maharashtra State Warehousing Corporation,Maharashtra State Warehousing Corporation,6580328,"Agricultural Produce Market Committee, Gokul Nagar , Gadchiroli",Gadchiroli,MAHARASHTRA,4000,26-May-22,25-May-27,7875144303,Active,
Maharashtra State Warehousing Corporation,"MSWC, AHMEDPUR",6578975,"MIDC Area, Nanded Road, AHMEDPUR",Latur,MAHARASHTRA,5100,25-May-22,24-May-27,9975790190,Active,
Maharashtra State Warehousing Corporation,"MAHRASHTRA STATE WAREHOUSING CORPORATION, LOHA",6612279,"APMC MARKET YARD, LOHA",Nanded,MAHARASHTRA,4800,08-Aug-22,07-Aug-27,9850611382,Active,
Maharashtra State Warehousing Corporation,Jaysingpur,6594279,"Market yard,Near Pol Factory, Jaysingpur,",Kolhapur,MAHARASHTRA,5400,13-Jun-22,12-Jun-27,9175927336,Active,
Maharashtra State Warehousing Corporation,NANDURBAR,6592208,"G.T.P.college Road Nandurbar, Opp Shani mandir, Nandurbar",Nandurbar,MAHARASHTRA,11520,07-Jun-22,06-Jun-27,8408882562,Active,
Maharashtra State Warehousing Corporation,MSWC Sangola,3831646,"APMC ,Market Yard,",Solapur,MAHARASHTRA,2980,25-Nov-19,24-Nov-24,9420662254,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Deolgaon Raja",6578702,"MIDC Area, Shingaon Fata, Near ITI, Chikhali Road, Deolgaon Raja,",Buldana,MAHARASHTRA,5000,24-May-22,23-May-27,9373032431,Active,
Maharashtra State Warehousing Corporation,"MAHARASHTRA STATE WAREHOUSING CORPORATION, LATUR A1",6580682,"Plot No. A!, Old MIDC Area, Barshi Road, LATUR",Latur,MAHARASHTRA,16650,26-May-22,25-May-27,7798041921,Active,
Maharashtra State Warehousing Corporation,MSWC DONDAICHA RAMI ROAD,6575286,"Near Fly oevr Bridge, Rami Raod Dondaicha",Dhule,MAHARASHTRA,11613,19-May-22,18-May-27,9158001337,Active,
Maharashtra State Warehousing Corporation,Ichalkaranji,6583025,"Market Yard Sangli Road Ichalkaranji, Market Yard Sangli Road Ichalkaranji",Kolhapur,MAHARASHTRA,3000,29-May-22,28-May-27,9175927336,Active,
Maharashtra State Warehousing Corporation,HAKNAKWADI,6584379,"Haknakwadi,Ahemedpur road,udgir, HAKNAKWADI",Latur,MAHARASHTRA,3600,30-May-22,29-May-27,9970640322,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Khamgaon City",6635767,"APMC, Market Yard, Khamgaon,",Buldana,MAHARASHTRA,3620,26-Sep-22,25-Sep-27,8855899877,Active,
Maharashtra State Warehousing Corporation,BHUSAVAL APMC,6746648,"MARKET YARD,, NEAR KHACHNE MARRAIGE HALL",Jalgaon,MAHARASHTRA,5400,27-Jun-23,26-Jun-28,8408882562,Active,
Maharashtra State Warehousing Corporation,AMBAD (NASHIK),6612451,"H-105 MIDC, AMBAD NASHIK",Nashik,MAHARASHTRA,2880,08-Aug-22,07-Aug-27,8408882562,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corpration, Arvi",6594360,"Pulgaon Road, Arvi,",Wardha,MAHARASHTRA,9000,13-Jun-22,12-Jun-27,9420246333,Active,
Maharashtra State Warehousing Corporation,MSWC Kharda,6756811,"Bhoom Road, APMC Marketyard",Ahmadnagar,MAHARASHTRA,3000,14-Jul-23,13-Jul-28,9766793572,Active,
Maharashtra State Warehousing Corporation,"MAHARASHTRA STATE WAREHOUSING CORPORATION, KALLAMB",6756902,"A.P.M.C. MARKETYARD, KALLAMB",Osmanabad,MAHARASHTRA,5400,14-Jul-23,13-Jul-28,8379809771,Active,
Maharashtra State Warehousing Corporation,MANMAD,6579874,"APMC MARKET YARD, CHANWAD ROAD MANMAD",Nashik,MAHARASHTRA,12900,26-May-22,25-May-27,8408882562,Active,
